x, y, z
-799.999999999896, 499.999999999966, -300.000000000434
-799.999999999993, 499.99999999999, -250.000000000021
-800.000000000039, 499.999999999977, -199.999999999847
-800.000000000013, 499.99999999999, -149.999999999941
-800.000000000014, 499.999999999991, -100.000000000123
-749.999999999986, -499.999999999955, -350.000000000243
-750.000000000063, -499.999999999925, -299.999999999773
-750.000000000109, -499.999999999886, -249.99999999982
-749.999999999975, -500.000000000039, -199.999999999966
-749.999999999808, -500.000000000241, -149.999999999915
-749.999999999999, -499.999999999965, -99.999999999979
-750.000000000073, -449.999999999827, -500.000000000122
-750.000000000332, -449.999999999464, -449.999999999956
-750.000000000082, -449.999999999879, -399.999999999843
-750.000000000142, -449.99999999973, -349.999999999802
-750.000000000382, -449.999999999431, -300.000000000137
-750.000000000033, -449.999999999956, -249.999999999781
-750.000000000004, -450.00000000003, -199.999999999706
-749.999999999857, -450.000000000176, -149.999999999883
-750.000000000027, -449.999999999872, -99.999999999917
-749.999999999899, -400.000000000209, -549.99999999988
-749.999999999746, -400.000000000508, -499.999999999885
-749.999999996327, -400.000000006853, -450.00000000012
-750.000000025238, -399.999999952706, -399.999999999265
-749.999999996417, -400.000000006684, -350.00000000008
-749.999999998329, -400.000000003243, -300.000000000073
-749.999999999934, -400.000000000166, -249.999999999965
-749.999999999877, -400.000000000072, -199.999999999913
-750.00000000013, -399.999999999718, -149.999999999942
-750.000000000048, -399.999999999919, -100.000000000165
-750.000000000145, -349.999999999418, -600.000000000216
-750.000000000035, -349.999999999875, -549.999999999994
-749.999999999369, -350.000000001142, -500.000000000262
-749.999999999872, -350.000000000067, -450.000000000172
-749.999999999826, -350.000000000322, -400.000000000052
-750.000000000004, -349.999999999886, -349.999999999976
-749.99999999987, -350.000000000188, -300.000000000235
-749.999999999662, -350.000000000635, -249.999999999992
-749.999999997837, -350.000000004715, -200.000000000015
-750.000000001853, -349.999999996079, -150.000000000093
-750.000000000327, -349.99999999914, -99.999999999986
-750.000000000939, -299.999999997995, -649.999999999574
-750.00000000012, -299.9999999999, -599.999999999938
-749.999999999812, -300.00000000037, -549.999999999972
-750.000000000159, -299.999999999755, -499.999999999847
-750.000000000242, -299.999999999585, -450.000000000004
-749.999999999994, -299.999999999854, -400.000000000077
-750.000000000014, -300.000000000034, -349.999999999773
-750.000000000023, -300.000000000066, -299.999999999877
-750.000000000051, -299.999999999977, -249.999999999849
-749.999999999454, -300.000000001339, -200.000000000178
-750.000000000816, -299.999999998035, -150.000000000141
-750.000000000028, -300.000000000142, -100.000000000093
-750.000000000243, -249.999999999153, -699.999999999968
-749.999999999766, -250.000000000589, -649.999999999995
-749.999999999976, -249.999999999804, -600.000000000153
-750.000000000067, -249.999999999989, -550.000000000022
-749.999999999891, -250.000000000093, -500.000000000005
-750.000000000085, -249.999999999983, -450.000000000105
-749.999999999807, -250.000000000436, -400.000000000251
-750.000000000097, -249.999999999702, -350.000000000071
-750.000000000094, -249.999999999795, -299.99999999984
-750.000000000244, -249.99999999951, -249.99999999999
-750.000000000246, -249.999999999367, -200.000000000077
-750.000000000523, -249.999999998569, -149.999999999924
